latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-16.93616,178.6655,329.6,0.46,0.47,2020-02-06,0112,1,nominal,1.0NRT,294.9,7.4,D
-22.28866,146.75917,340,0.71,0.75,2020-02-06,0254,1,nominal,1.0NRT,287.1,8.9,D
-22.28958,146.76074,342.2,0.71,0.75,2020-02-06,0254,1,nominal,1.0NRT,287.3,4.5,D
-21.75051,147.94945,331.2,0.59,0.7,2020-02-06,0254,1,nominal,1.0NRT,294.2,12.8,D
-21.46778,148.47139,367,0.54,0.68,2020-02-06,0254,1,high,1.0NRT,292.6,16,D
-21.46737,148.47658,339.7,0.54,0.68,2020-02-06,0254,1,nominal,1.0NRT,291.5,13.1,D
-21.43435,148.49438,348,0.54,0.68,2020-02-06,0254,1,nominal,1.0NRT,290.1,8,D
-21.42683,148.50987,331.4,0.54,0.68,2020-02-06,0254,1,nominal,1.0NRT,290,5.4,D
-21.4705,148.47243,367,0.54,0.68,2020-02-06,0254,1,high,1.0NRT,293.3,10,D
-21.46423,148.47173,337.8,0.54,0.68,2020-02-06,0254,1,nominal,1.0NRT,291.2,10,D
-21.46694,148.4402,335.2,0.55,0.68,2020-02-06,0254,1,nominal,1.0NRT,291,8.1,D
-21.43691,148.49541,347.6,0.54,0.68,2020-02-06,0254,1,nominal,1.0NRT,288.1,4.2,D
-21.41613,148.44112,329.9,0.55,0.68,2020-02-06,0254,1,nominal,1.0NRT,289.9,4.9,D
-21.40983,148.44066,338.3,0.55,0.68,2020-02-06,0254,1,nominal,1.0NRT,289.9,7.3,D
-21.41025,148.43558,334.1,0.55,0.68,2020-02-06,0254,1,nominal,1.0NRT,290.3,8.5,D
-21.1229,148.0983,332.1,0.57,0.69,2020-02-06,0254,1,nominal,1.0NRT,290.1,5.9,D
-20.8206,147.62442,331.5,0.61,0.71,2020-02-06,0254,1,nominal,1.0NRT,291.2,6.7,D
-20.79387,147.62833,332.6,0.61,0.71,2020-02-06,0254,1,nominal,1.0NRT,289.8,6.9,D
-20.78812,147.62758,334.8,0.61,0.71,2020-02-06,0254,1,nominal,1.0NRT,292,5.7,D
-20.72517,147.50481,347.5,0.62,0.71,2020-02-06,0254,1,nominal,1.0NRT,291.6,15.3,D
-20.7256,147.4993,330.6,0.62,0.71,2020-02-06,0254,1,nominal,1.0NRT,289.4,13.8,D
-20.4056,147.89658,367,0.58,0.7,2020-02-06,0254,1,high,1.0NRT,291.3,7.1,D
-20.40513,147.9021,327.6,0.58,0.69,2020-02-06,0254,1,nominal,1.0NRT,291.1,7.1,D
-19.33296,145.82249,336.8,0.77,0.77,2020-02-06,0254,1,nominal,1.0NRT,285.4,12.2,D
-19.27778,145.74959,328.2,0.78,0.78,2020-02-06,0254,1,nominal,1.0NRT,288.8,7.6,D
-37.48241,149.90289,333.5,0.6,0.71,2020-02-06,0248,1,nominal,1.0NRT,283,12,D
-37.48257,149.8969,346.9,0.6,0.71,2020-02-06,0248,1,nominal,1.0NRT,282.2,11,D
-37.48271,149.89119,334.8,0.6,0.71,2020-02-06,0248,1,nominal,1.0NRT,282.7,11,D
-37.20622,148.10173,331,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,289,12.7,D
-37.20629,148.09616,356.2,0.75,0.77,2020-02-06,0248,1,low,1.0NRT,287.7,60.2,D
-36.94944,148.18095,334.5,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,284.2,7.9,D
-36.9422,148.18988,329.8,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,284.2,7.9,D
-36.94227,148.1828,339,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,284.2,7.9,D
-36.93498,148.19701,348.4,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,285.7,13.3,D
-36.93505,148.19023,336.3,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,284.2,19.4,D
-36.92785,148.19597,329.4,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,285.4,13.3,D
-36.94629,148.18513,331.8,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,283.7,9.3,D
-36.9464,148.17784,333.9,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,282.7,9.3,D
-36.93912,148.18665,341.2,0.75,0.77,2020-02-06,0248,1,nominal,1.0NRT,285.3,9.3,D
