latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-33.868,142.695,356.7,1,1,2020-02-06,0030,T,98,6.0NRT,309.3,61.5,D
-33.87,142.706,334.4,1,1,2020-02-06,0030,T,77,6.0NRT,308.4,17.1,D
-34.767,143.319,326.6,1,1,2020-02-06,0030,T,46,6.0NRT,308.2,7.8,D
-36.924,148.194,319,1.5,1.2,2020-02-06,0030,T,35,6.0NRT,290.7,23.3,D
-36.926,148.21,334.4,1.5,1.2,2020-02-06,0030,T,82,6.0NRT,292.8,55.8,D
-36.937,148.209,322.9,1.5,1.2,2020-02-06,0030,T,74,6.0NRT,290.7,30.2,D
-37.212,148.688,306.5,1.6,1.2,2020-02-06,0030,T,17,6.0NRT,292.5,8.7,D
-37.219,148.761,312.2,1.6,1.3,2020-02-06,0030,T,66,6.0NRT,290.9,19.7,D
-37.261,148.72,327.7,1.6,1.2,2020-02-06,0030,T,83,6.0NRT,294.3,46.2,D
-37.263,148.737,310.6,1.6,1.3,2020-02-06,0030,T,56,6.0NRT,292.4,14.8,D
-37.259,148.714,319.6,1.6,1.2,2020-02-06,0030,T,77,6.0NRT,294.1,28.5,D
-37.261,148.731,324.1,1.6,1.3,2020-02-06,0030,T,81,6.0NRT,293.7,39.1,D
-37.211,148.095,316.4,1.5,1.2,2020-02-06,0030,T,35,6.0NRT,295.7,17.7,D
-37.794,148.723,315.7,1.6,1.3,2020-02-06,0030,T,0,6.0NRT,300.5,18.2,D
-37.819,145.297,315.4,1.1,1.1,2020-02-06,0030,T,51,6.0NRT,298.4,6.7,D
-37.846,145.278,316.2,1.1,1.1,2020-02-06,0030,T,59,6.0NRT,299.4,7.3,D
-38.097,145.489,310.5,1.1,1.1,2020-02-06,0030,T,44,6.0NRT,294.9,7.2,D
-38.096,145.16,313.8,1.1,1.1,2020-02-06,0030,T,21,6.0NRT,296.2,5.4,D
-38.097,145.172,314.3,1.1,1.1,2020-02-06,0030,T,35,6.0NRT,297,5.8,D
-38.084,142.965,320.1,1,1,2020-02-06,0030,T,70,6.0NRT,301.2,9.4,D
-38.086,142.976,326.8,1,1,2020-02-06,0030,T,79,6.0NRT,301.9,16.7,D
-17.692,144.906,326.8,1.2,1.1,2020-02-06,0025,T,61,6.0NRT,301.3,13.8,D
-18.94,144.633,323.2,1.2,1.1,2020-02-06,0025,T,48,6.0NRT,297.9,11.6,D
-19.272,145.697,321.2,1.1,1,2020-02-06,0025,T,60,6.0NRT,295.5,8.5,D
-19.327,145.826,327.9,1.1,1,2020-02-06,0025,T,71,6.0NRT,301.6,13.3,D
-19.323,145.619,327,1.1,1,2020-02-06,0025,T,59,6.0NRT,300.9,12.5,D
-19.324,145.629,332,1.1,1,2020-02-06,0025,T,74,6.0NRT,302.8,19.7,D
-19.334,145.627,326.1,1.1,1,2020-02-06,0025,T,67,6.0NRT,298.1,12.7,D
-19.338,145.658,330.8,1.1,1,2020-02-06,0025,T,73,6.0NRT,300.7,18.6,D
-21.447,148.395,331.6,1,1,2020-02-06,0025,T,65,6.0NRT,300.8,20.2,D
-22.225,147.648,320.6,1,1,2020-02-06,0025,T,49,6.0NRT,301.7,12.8,D
-23.713,151.035,318,1.5,1.2,2020-02-06,0025,T,51,6.0NRT,295.8,16,D
-32.319,115.884,331.8,1.3,1.1,2020-02-06,0210,T,33,6.0NRT,313.8,18.8,D
-13.969,123.317,322.3,1,1,2020-02-06,0205,T,75,6.0NRT,296.6,15.8,D
-20.785,120.263,356.1,1.1,1.1,2020-02-06,0205,T,97,6.0NRT,298.9,72,D
-20.755,119.513,361.9,1.2,1.1,2020-02-06,0205,T,100,6.0NRT,300.6,99.6,D
-20.757,119.524,353.7,1.2,1.1,2020-02-06,0205,T,96,6.0NRT,300.5,72,D
-20.772,119.557,326.7,1.2,1.1,2020-02-06,0205,T,54,6.0NRT,300.3,12.2,D
-20.941,115.899,310.5,2.1,1.4,2020-02-06,0205,T,40,6.0NRT,299.2,16.8,D
-20.941,115.892,311.8,2.1,1.4,2020-02-06,0205,T,51,6.0NRT,301.2,20.5,D
-21.458,114.998,313,2.3,1.5,2020-02-06,0205,T,29,6.0NRT,296.6,36.1,D
-23.02,149.367,320.3,3.6,1.8,2020-02-06,0310,A,35,6.0NRT,295.5,60.3,D
-21.786,148.694,312.4,3.9,1.8,2020-02-06,0310,A,41,6.0NRT,290.9,50.4,D
-20.418,147.881,314.3,4.3,1.9,2020-02-06,0310,A,36,6.0NRT,292,59.8,D
-20.417,147.877,314.2,4.3,1.9,2020-02-06,0310,A,35,6.0NRT,292,59.3,D
-21.432,127.727,329.9,2,1.4,2020-02-06,0450,A,50,6.0NRT,301.9,40,D
-17.085,139.627,310.4,2.1,1.4,2020-02-06,0450,A,19,6.0NRT,295.9,15.3,D
-17.072,139.624,310.1,2.1,1.4,2020-02-06,0450,A,26,6.0NRT,295.7,15.5,D
-14.643,132.579,383.6,1,1,2020-02-06,0450,A,87,6.0NRT,283.7,158.4,D
-14.645,132.57,401.7,1,1,2020-02-06,0450,A,100,6.0NRT,290,253.4,D
-14.646,132.561,328.6,1,1,2020-02-06,0450,A,63,6.0NRT,283.1,17.7,D
-13.561,136.143,314.1,1.4,1.2,2020-02-06,0450,A,29,6.0NRT,297,10.4,D
-34.655,146.051,327.1,2.4,1.5,2020-02-06,0445,A,67,6.0NRT,305.3,36.2,D
-34.649,146.044,327.8,2.4,1.5,2020-02-06,0445,A,68,6.0NRT,305.3,42.7,D
-33.013,137.592,336.8,1,1,2020-02-06,0445,A,0,6.0NRT,313.5,19,D
-32.901,124.22,327.7,4.8,2,2020-02-06,0445,A,77,6.0NRT,296.7,143.8,D
-32.91,124.202,321.3,4.1,1.9,2020-02-06,0625,A,37,6.0NRT,297.5,59.2,D
-32.908,124.197,320.8,4.1,1.9,2020-02-06,0625,A,63,6.0NRT,297.6,56,D
-32.892,124.191,328.9,4.1,1.9,2020-02-06,0625,A,82,6.0NRT,298.3,116.8,D
-20.979,117.632,325.5,2.8,1.6,2020-02-06,0630,A,49,6.0NRT,276.7,56,D
-21.458,115.002,311.5,1.8,1.3,2020-02-06,0630,A,49,6.0NRT,291.1,20.3,D
-37.485,149.902,310.7,1.5,1.2,2020-02-06,1230,T,56,6.0NRT,285.6,19.3,N
-37.473,149.916,302.1,1.5,1.2,2020-02-06,1230,T,28,6.0NRT,278.5,10.1,N
-37.478,149.867,314.2,1.5,1.2,2020-02-06,1230,T,84,6.0NRT,287.7,23.4,N
-37.479,149.849,325.9,1.5,1.2,2020-02-06,1230,T,100,6.0NRT,289.7,43.7,N
-37.468,149.847,306.4,1.5,1.2,2020-02-06,1230,T,50,6.0NRT,288.4,13.9,N
-37.267,148.722,307.9,1.7,1.3,2020-02-06,1230,T,73,6.0NRT,288.4,19.2,N
