latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-16.93758,178.66786,330.5,0.45,0.47,2020-02-06,0200,N,nominal,1.0NRT,294.2,5.6,D
-38.53199,175.11644,338.8,0.43,0.38,2020-02-06,0154,N,nominal,1.0NRT,296.4,5.4,D
-37.77386,149.02461,334.8,0.45,0.39,2020-02-06,0336,N,nominal,1.0NRT,301.7,4.4,D
-37.79174,148.7184,344.4,0.46,0.39,2020-02-06,0336,N,nominal,1.0NRT,311.2,11,D
-37.67867,149.1983,340.5,0.44,0.38,2020-02-06,0336,N,nominal,1.0NRT,307,5.3,D
-38.10087,142.91061,349.3,0.59,0.53,2020-02-06,0336,N,nominal,1.0NRT,303.9,7.8,D
-38.10073,142.90952,352.7,0.59,0.53,2020-02-06,0336,N,nominal,1.0NRT,304.2,10.7,D
-37.83128,144.78886,338.6,0.46,0.47,2020-02-06,0336,N,nominal,1.0NRT,300.9,3.8,D
-37.48671,148.04646,338.2,0.48,0.4,2020-02-06,0336,N,nominal,1.0NRT,301.7,6.2,D
-37.42814,148.05888,335.1,0.48,0.4,2020-02-06,0336,N,nominal,1.0NRT,303.9,3.2,D
-37.42829,148.05762,343,0.48,0.4,2020-02-06,0336,N,nominal,1.0NRT,302.7,5.9,D
-37.25621,148.72189,367,0.45,0.39,2020-02-06,0336,N,high,1.0NRT,301.6,66.3,D
-37.69868,142.20847,351.6,0.32,0.54,2020-02-06,0336,N,nominal,1.0NRT,305.6,8.7,D
-37.69331,142.21173,367,0.32,0.54,2020-02-06,0336,N,high,1.0NRT,304.1,8.7,D
-37.69356,142.20798,355.9,0.32,0.54,2020-02-06,0336,N,nominal,1.0NRT,305,8.7,D
-36.94449,148.1806,367,0.47,0.4,2020-02-06,0336,N,high,1.0NRT,295.5,68.5,D
-36.93527,148.19498,367,0.47,0.4,2020-02-06,0336,N,high,1.0NRT,298.7,33.3,D
-36.93037,148.2047,367,0.47,0.4,2020-02-06,0336,N,high,1.0NRT,295.6,26.1,D
-36.93159,148.19426,367,0.47,0.4,2020-02-06,0336,N,high,1.0NRT,296.5,62.5,D
-36.92856,148.18803,367,0.47,0.4,2020-02-06,0336,N,high,1.0NRT,298,45.3,D
-36.92492,148.18701,367,0.47,0.4,2020-02-06,0336,N,high,1.0NRT,301.9,52.8,D
-36.20544,150.05682,335.2,0.41,0.37,2020-02-06,0336,N,nominal,1.0NRT,294.9,5,D
-35.94094,149.04367,367,0.43,0.38,2020-02-06,0336,N,high,1.0NRT,290.6,31.1,D
-35.83361,148.92677,367,0.43,0.38,2020-02-06,0336,N,high,1.0NRT,291.9,267.5,D
-35.83064,148.92159,367,0.43,0.38,2020-02-06,0336,N,high,1.0NRT,359,267.5,D
-35.83121,148.91702,367,0.43,0.38,2020-02-06,0336,N,high,1.0NRT,335.2,144,D
-35.83178,148.91248,367,0.43,0.38,2020-02-06,0336,N,low,1.0NRT,285.3,144,D
-35.82651,148.9256,367,0.43,0.38,2020-02-06,0336,N,low,1.0NRT,289.3,66.5,D
-35.82354,148.92041,367,0.43,0.38,2020-02-06,0336,N,low,1.0NRT,279.2,66.5,D
-35.8289,148.91849,367,0.43,0.38,2020-02-06,0336,N,high,1.0NRT,336.3,135,D
-35.82478,148.92239,367,0.43,0.38,2020-02-06,0336,N,low,1.0NRT,276.7,171.8,D
-35.82535,148.91791,367,0.43,0.38,2020-02-06,0336,N,low,1.0NRT,281.4,135,D
-35.60823,148.73537,346.8,0.44,0.38,2020-02-06,0342,N,nominal,1.0NRT,286.3,7,D
-35.60337,148.74496,338.1,0.44,0.38,2020-02-06,0342,N,nominal,1.0NRT,283.8,14.7,D
-35.60469,148.73457,337.2,0.44,0.38,2020-02-06,0342,N,nominal,1.0NRT,285.8,7,D
-35.59916,148.74956,352.6,0.44,0.38,2020-02-06,0342,N,nominal,1.0NRT,303.5,103,D
-35.58377,148.75629,367,0.44,0.38,2020-02-06,0342,N,high,1.0NRT,295.9,44.2,D
-35.50154,148.95445,335.9,0.43,0.38,2020-02-06,0342,N,nominal,1.0NRT,283.3,4.1,D
-35.49217,148.94313,332.7,0.43,0.38,2020-02-06,0342,N,nominal,1.0NRT,285,5.6,D
-35.49497,148.86513,367,0.43,0.38,2020-02-06,0342,N,high,1.0NRT,331.2,211.4,D
-35.47998,148.92569,367,0.43,0.38,2020-02-06,0342,N,high,1.0NRT,294.8,27.9,D
-34.76526,143.32083,341.1,0.52,0.5,2020-02-06,0342,N,nominal,1.0NRT,304.2,11.7,D
-33.87075,142.69865,335.3,0.55,0.51,2020-02-06,0342,N,nominal,1.0NRT,304.5,5.6,D
-33.86597,142.69814,345.3,0.55,0.51,2020-02-06,0342,N,nominal,1.0NRT,304.2,5.6,D
-33.01348,137.59509,346,0.53,0.67,2020-02-06,0342,N,nominal,1.0NRT,307.7,10.1,D
-33.00614,137.5808,342.5,0.53,0.67,2020-02-06,0342,N,nominal,1.0NRT,310.1,3.7,D
-25.74583,152.71112,339.8,0.46,0.39,2020-02-06,0342,N,nominal,1.0NRT,282.4,4,D
-23.07876,148.95673,338.4,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.3,6.1,D
-23.07934,148.95296,347.9,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,305.5,6.1,D
-23.31466,146.13252,334.9,0.42,0.38,2020-02-06,0342,N,low,1.0NRT,300.3,6.9,D
-22.72734,147.63489,336.6,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,303.8,4.6,D
-22.724,147.63432,336,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,302.1,3.3,D
-22.40844,148.6745,339.8,0.38,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.5,3.8,D
-21.8206,147.53076,335.7,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,300.9,2.2,D
-21.51362,148.63011,340.8,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,302.3,5.9,D
-21.50984,148.61031,334.6,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,302.4,4,D
-21.51042,148.60655,350.4,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.6,4.2,D
-21.50651,148.60971,343.7,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.5,4,D
-21.50709,148.60599,346.7,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.2,4.2,D
-21.50766,148.60223,335.9,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,301.7,4.2,D
-21.50318,148.60913,347.5,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.2,28.9,D
-21.50376,148.60539,350.8,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.7,16,D
-21.50043,148.60481,352.8,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.2,16,D
-21.501,148.60106,336.3,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,302.6,16,D
-21.49767,148.60048,342.7,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,303.5,7.1,D
-21.49217,148.59184,331.7,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,295.8,3.3,D
-21.47404,148.5542,344.3,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.9,6.7,D
-21.47071,148.5536,355.8,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,307.9,27.5,D
-21.46452,148.57156,347.7,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,299,5.5,D
-21.45772,148.5934,337.8,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,295.1,3.8,D
-21.46119,148.57098,343.2,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,308.9,70.3,D
-21.45439,148.59282,336.6,0.39,0.36,2020-02-06,0342,N,nominal,1.0NRT,295.1,3.8,D
-21.47279,148.47363,341,0.38,0.36,2020-02-06,0342,N,nominal,1.0NRT,306.1,3.5,D
-21.46947,148.47304,356.8,0.38,0.36,2020-02-06,0342,N,nominal,1.0NRT,307.5,9.8,D
-21.47004,148.46931,340.6,0.38,0.36,2020-02-06,0342,N,nominal,1.0NRT,304.5,5.3,D
