,title,url,urlToImage
1,Earth Day: Meet the original eco warriors protecting the planet,https://www.bbc.co.uk/news/science-environment-51806291,https://ichef.bbci.co.uk/news/1024/branded_news/B0DF/production/_111197254_chad.jpg
2,"Drought, bushfire, flood, hail, and dust: Local action the way forward for Australia's sustainability",https://phys.org/news/2020-04-drought-bushfire-hail-local-action.html,https://scx2.b-cdn.net/gfx/news/hires/2020/bushfire.jpg
3,"Drought, fire and flood: How outer urban areas can manage emergencies while reducing future risks",https://phys.org/news/2020-04-drought-outer-urban-areas-emergencies.html,https://scx2.b-cdn.net/gfx/news/hires/2020/droughtfirea.jpg
4,This rainforest was once a grassland savanna maintained by Aboriginal people—until colonization,https://phys.org/news/2020-05-rainforest-grassland-savanna-aboriginal-peopleuntil.html,https://scx2.b-cdn.net/gfx/news/hires/2020/thisrainfore.jpg
5,"Major declines in populations of threatened mammals over the last 20 years, but news not all bad",https://phys.org/news/2020-04-major-declines-populations-threatened-mammals.html,https://phys.b-cdn.net/tmpl/v6/img/medx308px.png
6,Here are 5 ways to flatten the climate change curve while stuck at home,https://phys.org/news/2020-04-ways-flatten-climate-stuck-home.html,https://scx2.b-cdn.net/gfx/news/hires/2020/hereare5ways.jpg
7,Here's Why Shares of Enphase Energy Soared 45% in April,https://www.fool.com/investing/2020/05/03/heres-why-shares-of-enphase-energy-soared-45-in-ap.aspx,https://g.foolcdn.com/editorial/images/571196/solar_panel_installer_drill.jpg
8,Westpac Banking Corp. (WBK) Q2 2020 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2020/05/04/westpac-banking-corp-wbk-q2-2020-earnings-call-tra.aspx,https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template.jpg
9,Nick Kyrgios no fan of Grand Slams without crowd,https://indianexpress.com/article/sports/tennis/nick-kyrgios-no-fan-of-grand-slams-without-crowd-6372832/,https://images.indianexpress.com/2019/08/kyrgios-usatodaysports.jpg?w=759
10,Andrew Constance's shock withdrawal from Eden-Monaro byelection blindsides federal Liberals,https://amp.theguardian.comaustralia-news/2020/may/06/andrew-constances-shock-withdrawal-from-eden-monaro-byelection-blindsides-federal-liberals,https://i.guim.co.uk/img/media/f58b6d2624abf67a5b89cd4a42cb31656d8a70ad/0_2610_3648_2188/master/3648.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=062f576152e0563cc8bce5402f6d7bfb
11,"This Earth Day, Meet the Original Eco-Warriors Protecting the Planet",https://news.yahoo.com/earth-day-meet-original-eco-231548759.html,https://s.yimg.com/ny/api/res/1.2/uyxk3wwyxDeDb4TPfPyR9A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD03MjA-/https://s.yimg.com/uu/api/res/1.2/AAA2ADBRvxUDCwJkjI42pQ--~B/aD01NDk7dz05NzY7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-gb/bbc_us_articles_995/abed947ba45175fe2e32fa177599dba4
12,Tech made to find galaxies sets its sights on wildfires - Mongabay.com,https://news.mongabay.com/2020/05/tech-made-to-find-galaxies-sets-its-sights-on-wildfires/,https://imgs.mongabay.com/wp-content/uploads/sites/20/2020/05/19161026/Woolsey_Fire_-_tree_ridge_in_flames_20181119-PB-008-768x512.jpg
13,MasterChef's Jock Zonfrillo Says You Should Cook With These Indigenous Plants Daily,https://www.lifehacker.com.au/2020/05/masterchef-judge-jock-zonfrillo-cooking-with-indigenous-ingredients/,https://edge.alluremedia.com.au/m/l/2020/05/mu.jpg
14,Call to Unravel Basic Climate Change,https://goodmenproject.com/featured-content/call-to-unravel-basic-climate-change/,https://goodmenproject.com/wp-content/uploads/2020/02/iStock-858794212-1.jpg
15,"Koalas drink water by licking wet trees, scientists discover",https://www.independent.co.uk/news/science/koalas-drink-water-licking-trees-australia-sydney-university-a9498456.html,https://static.independent.co.uk/s3fs-public/thumbnails/image/2020/05/04/17/koala.jpg
16,International Firefighters Day: Who was Saint Florian and why is 2020 so important?,https://www.independent.co.uk/news/world/americas/international-firefighters-day-history-saint-florian-australia-bushfire-2020-a9498461.html,https://static.independent.co.uk/s3fs-public/thumbnails/image/2020/05/04/17/firefighters.jpg
18,Coronavirus: How Australia's PM rebuilt his reputation fighting the virus,https://news.yahoo.com/coronavirus-australias-pm-rebuilt-reputation-151843027.html,https://s.yimg.com/ny/api/res/1.2/ifvDhcN4lXtlyIPpRDWDEQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD03MjA-/https://s.yimg.com/uu/api/res/1.2/QkjfvFYUuNDqzMGmA7Wi3w--~B/aD01NDk7dz05NzY7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-gb/bbc_us_articles_995/8b674f8f7dfe3e2b1a9b6e81d9acdf15
19,Rain brings optimism for drought-plagued Aussie farmers,https://news.yahoo.com/rain-brings-optimism-drought-plagued-aussie-farmers-051738554.html,https://s.yimg.com/ny/api/res/1.2/NCc0GWpJm0QTXtMdTuwiTA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTA-/https://s.yimg.com/uu/api/res/1.2/0pYmOQU8ICWfCyUo76Dqrw--~B/aD01MTA7dz03Njg7c209MTthcHBpZD15dGFjaHlvbg--/http://media.zenfs.com/en_us/News/afp.com/2bd1fbecfacc6b4368a77e70b3fb61a3f7faf229.jpg
